country,year,mode,powertrain,ev_charging_points,ev_sales,ev_sales_share,ev_stock,ev_stock_share,electricity_demand_ev,iso_code,population,gdp,co2,co2_per_capita,co2_per_gdp,oil_co2,oil_co2_per_capita,coal_co2,coal_co2_per_capita,co2_per_unit_energy,primary_energy_consumption,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,electricity_generation,electricity_demand_tot,low_carbon_electricity,fossil_electricity,renewables_electricity,coal_electricity,gas_electricity,oil_electricity,nuclear_electricity,hydro_electricity,solar_electricity,wind_electricity,other_renewable_electricity,net_elec_imports
Australia,2022,EV,Publicly available slow,2100.0,0.0,0.0,0.0,0.0,0.0,AUS,26200987.0,1344251444393.0,384.078,14.659,0.286,133.833,5.108,146.0,5.572,231.263,1660.79,365.08,13.934,0.272,272.92,272.92,87.44,185.48,87.44,129.21,50.82,5.45,0.0,16.66,37.54,30.05,3.19,0.0
Australia,2023,Cars,BEV,0.0,87000.0,0.0,150000.0,0.0,0.0,AUS,26451126.0,,384.316,14.529,,141.61,5.354,140.982,5.33,231.882,1657.377,372.151,14.069,,273.11,273.11,95.07,178.04,95.07,125.61,46.67,5.76,0.0,15.08,44.99,31.87,3.13,0.0
Australia,2023,Cars,EV,0.0,0.0,12.0,0.0,1.20000004768372,0.0,AUS,26451126.0,,384.316,14.529,,141.61,5.354,140.982,5.33,231.882,1657.377,372.151,14.069,,273.11,273.11,95.07,178.04,95.07,125.61,46.67,5.76,0.0,15.08,44.99,31.87,3.13,0.0
Australia,2023,Cars,FCEV,0.0,6.0,0.0,65.0,0.0,0.0,AUS,26451126.0,,384.316,14.529,,141.61,5.354,140.982,5.33,231.882,1657.377,372.151,14.069,,273.11,273.11,95.07,178.04,95.07,125.61,46.67,5.76,0.0,15.08,44.99,31.87,3.13,0.0
Australia,2023,Cars,PHEV,0.0,11000.0,0.0,31000.0,0.0,0.0,AUS,26451126.0,,384.316,14.529,,141.61,5.354,140.982,5.33,231.882,1657.377,372.151,14.069,,273.11,273.11,95.07,178.04,95.07,125.61,46.67,5.76,0.0,15.08,44.99,31.87,3.13,0.0
Australia,2023,EV,Publicly available fast,660.0,0.0,0.0,0.0,0.0,0.0,AUS,26451126.0,,384.316,14.529,,141.61,5.354,140.982,5.33,231.882,1657.377,372.151,14.069,,273.11,273.11,95.07,178.04,95.07,125.61,46.67,5.76,0.0,15.08,44.99,31.87,3.13,0.0
Australia,2023,EV,Publicly available slow,2100.0,0.0,0.0,0.0,0.0,0.0,AUS,26451126.0,,384.316,14.529,,141.61,5.354,140.982,5.33,231.882,1657.377,372.151,14.069,,273.11,273.11,95.07,178.04,95.07,125.61,46.67,5.76,0.0,15.08,44.99,31.87,3.13,0.0
Austria,2010,Cars,BEV,0.0,0.0,0.0,350.0,0.0,0.0,AUT,8365087.0,338832243101.0,72.0,8.607,0.212,34.785,4.158,15.497,1.853,170.795,421.558,95.156,11.375,0.281,67.82,70.26,44.99,22.83,44.99,4.92,14.35,3.56,0.0,38.36,0.09,2.06,4.48,2.44
Austria,2010,Cars,EV,0.0,0.0,0.0,0.0,0.00789999961853,0.0,AUT,8365087.0,338832243101.0,72.0,8.607,0.212,34.785,4.158,15.497,1.853,170.795,421.558,95.156,11.375,0.281,67.82,70.26,44.99,22.83,44.99,4.92,14.35,3.56,0.0,38.36,0.09,2.06,4.48,2.44
Austria,2011,Cars,BEV,0.0,0.0,0.0,990.0,0.0,0.0,AUT,8393272.0,349713455451.0,69.892,8.327,0.2,33.269,3.964,15.818,1.885,176.553,395.869,97.393,11.604,0.278,62.2,70.4,40.91,21.29,40.91,5.43,12.44,3.42,0.0,34.24,0.17,1.94,4.56,8.2
Austria,2011,Cars,EV,0.0,0.0,0.0,0.0,0.021999999880791,0.0,AUT,8393272.0,349713455451.0,69.892,8.327,0.2,33.269,3.964,15.818,1.885,176.553,395.869,97.393,11.604,0.278,62.2,70.4,40.91,21.29,40.91,5.43,12.44,3.42,0.0,34.24,0.17,1.94,4.56,8.2
Austria,2011,EV,Publicly available fast,0.100000001490116,0.0,0.0,0.0,0.0,0.0,AUT,8393272.0,349713455451.0,69.892,8.327,0.2,33.269,3.964,15.818,1.885,176.553,395.869,97.393,11.604,0.278,62.2,70.4,40.91,21.29,40.91,5.43,12.44,3.42,0.0,34.24,0.17,1.94,4.56,8.2
Austria,2011,EV,Publicly available slow,0.100000001490116,0.0,0.0,0.0,0.0,0.0,AUT,8393272.0,349713455451.0,69.892,8.327,0.2,33.269,3.964,15.818,1.885,176.553,395.869,97.393,11.604,0.278,62.2,70.4,40.91,21.29,40.91,5.43,12.44,3.42,0.0,34.24,0.17,1.94,4.56,8.2
Austria,2012,Cars,BEV,0.0,0.0,0.0,1400.0,0.0,0.0,AUT,8431599.0,352093108730.0,67.26,7.977,0.191,32.627,3.87,14.686,1.742,162.307,414.402,92.127,10.926,0.262,68.65,71.45,51.33,17.32,51.33,4.39,9.71,3.22,0.0,43.85,0.34,2.46,4.68,2.8
Austria,2012,Cars,EV,0.0,0.0,0.0,0.0,0.032999999821186,0.0,AUT,8431599.0,352093108730.0,67.26,7.977,0.191,32.627,3.87,14.686,1.742,162.307,414.402,92.127,10.926,0.262,68.65,71.45,51.33,17.32,51.33,4.39,9.71,3.22,0.0,43.85,0.34,2.46,4.68,2.8
Austria,2012,Cars,PHEV,0.0,0.0,0.0,140.0,0.0,0.0,AUT,8431599.0,352093108730.0,67.26,7.977,0.191,32.627,3.87,14.686,1.742,162.307,414.402,92.127,10.926,0.262,68.65,71.45,51.33,17.32,51.33,4.39,9.71,3.22,0.0,43.85,0.34,2.46,4.68,2.8
Austria,2012,EV,Publicly available fast,0.100000001490116,0.0,0.0,0.0,0.0,0.0,AUT,8431599.0,352093108730.0,67.26,7.977,0.191,32.627,3.87,14.686,1.742,162.307,414.402,92.127,10.926,0.262,68.65,71.45,51.33,17.32,51.33,4.39,9.71,3.22,0.0,43.85,0.34,2.46,4.68,2.8
Austria,2012,EV,Publicly available slow,0.100000001490116,0.0,0.0,0.0,0.0,0.0,AUT,8431599.0,352093108730.0,67.26,7.977,0.191,32.627,3.87,14.686,1.742,162.307,414.402,92.127,10.926,0.262,68.65,71.45,51.33,17.32,51.33,4.39,9.71,3.22,0.0,43.85,0.34,2.46,4.68,2.8
