country,isoCode,continent,continentCode,year,halfDecade,pandemicPeriod,vehicleType,powertrain,evSales,evSalesShare,evStock,evStockShare,evElectricityDemand,evChargingPoints,chargingPointsPerEv,population,GDP
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,2100.0,0.029171396140749147,26018721.0,1695627535475.8
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemic,Cars,BEV,87000.0,0.0,150000.0,0.0,0.0,0.0,0.015243144727031728,26659922.0,1734451264655.6
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemic,Cars,EV,0.0,12.0,0.0,1.20000004768372,0.0,0.0,0.015243144727031728,26659922.0,1734451264655.6
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemic,Cars,FCEV,6.0,0.0,65.0,0.0,0.0,0.0,0.015243144727031728,26659922.0,1734451264655.6
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemic,Cars,PHEV,11000.0,0.0,31000.0,0.0,0.0,0.0,0.015243144727031728,26659922.0,1734451264655.6
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,660.0,0.015243144727031728,26659922.0,1734451264655.6
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,2100.0,0.015243144727031728,26659922.0,1734451264655.6
Austria,AUT,Europe,EU,2010,2010-2014,Pre-Pandemic,Cars,BEV,0.0,0.0,350.0,0.0,0.0,0.0,0.0,8363404.0,389827789217.634
Austria,AUT,Europe,EU,2010,2010-2014,Pre-Pandemic,Cars,EV,0.0,0.0,0.0,0.00789999961853,0.0,0.0,0.0,8363404.0,389827789217.634
Austria,AUT,Europe,EU,2011,2010-2014,Pre-Pandemic,Cars,BEV,0.0,0.0,990.0,0.0,0.0,0.0,0.00020202020503053735,8391643.0,428954737064.057
Austria,AUT,Europe,EU,2011,2010-2014,Pre-Pandemic,Cars,EV,0.0,0.0,0.0,0.021999999880791,0.0,0.0,0.00020202020503053735,8391643.0,428954737064.057
Austria,AUT,Europe,EU,2011,2010-2014,Pre-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,0.100000001490116,0.00020202020503053735,8391643.0,428954737064.057
Austria,AUT,Europe,EU,2011,2010-2014,Pre-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,0.100000001490116,0.00020202020503053735,8391643.0,428954737064.057
Austria,AUT,Europe,EU,2012,2010-2014,Pre-Pandemic,Cars,BEV,0.0,0.0,1400.0,0.0,0.0,0.0,0.00012987013180534545,8429991.0,406750487603.59
Austria,AUT,Europe,EU,2012,2010-2014,Pre-Pandemic,Cars,EV,0.0,0.0,0.0,0.032999999821186,0.0,0.0,0.00012987013180534545,8429991.0,406750487603.59
Austria,AUT,Europe,EU,2012,2010-2014,Pre-Pandemic,Cars,PHEV,0.0,0.0,140.0,0.0,0.0,0.0,0.00012987013180534545,8429991.0,406750487603.59
Austria,AUT,Europe,EU,2012,2010-2014,Pre-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,0.100000001490116,0.00012987013180534545,8429991.0,406750487603.59
Austria,AUT,Europe,EU,2012,2010-2014,Pre-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,0.100000001490116,0.00012987013180534545,8429991.0,406750487603.59
Austria,AUT,Europe,EU,2013,2010-2014,Pre-Pandemic,Cars,BEV,650.0,0.0,2100.0,0.0,0.0,0.0,7.968127608774183e-05,8479823.0,426580502769.417
Austria,AUT,Europe,EU,2013,2010-2014,Pre-Pandemic,Cars,EV,0.0,0.200000002980232,0.0,0.052999999374151,0.0,0.0,7.968127608774183e-05,8479823.0,426580502769.417
Austria,AUT,Europe,EU,2013,2010-2014,Pre-Pandemic,Cars,PHEV,0.0,0.0,410.0,0.0,0.0,0.0,7.968127608774183e-05,8479823.0,426580502769.417
Austria,AUT,Europe,EU,2013,2010-2014,Pre-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,0.100000001490116,7.968127608774183e-05,8479823.0,426580502769.417
Austria,AUT,Europe,EU,2013,2010-2014,Pre-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,0.100000001490116,7.968127608774183e-05,8479823.0,426580502769.417
Austria,AUT,Europe,EU,2014,2010-2014,Pre-Pandemic,Cars,BEV,1700.0,0.0,3400.0,0.0,0.0,0.0,4.78125754196108e-05,8546356.0,438556021078.034
Austria,AUT,Europe,EU,2014,2010-2014,Pre-Pandemic,Cars,EV,0.0,0.569999992847443,0.0,0.089000001549721,0.0,0.0,4.78125754196108e-05,8546356.0,438556021078.034
Austria,AUT,Europe,EU,2014,2010-2014,Pre-Pandemic,Cars,FCEV,6.0,0.0,3.0,0.0,0.0,0.0,4.78125754196108e-05,8546356.0,438556021078.034
Austria,AUT,Europe,EU,2014,2010-2014,Pre-Pandemic,Cars,PHEV,0.0,0.0,780.0,0.0,0.0,0.0,4.78125754196108e-05,8546356.0,438556021078.034
Austria,AUT,Europe,EU,2014,2010-2014,Pre-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,0.100000001490116,4.78125754196108e-05,8546356.0,438556021078.034
Austria,AUT,Europe,EU,2014,2010-2014,Pre-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,0.100000001490116,4.78125754196108e-05,8546356.0,438556021078.034
Austria,AUT,Europe,EU,2015,2015-2019,Pre-Pandemic,Cars,BEV,1700.0,0.0,5000.0,0.0,0.0,0.0,3.0740855053832155e-05,8642699.0,379546097300.633
Austria,AUT,Europe,EU,2015,2015-2019,Pre-Pandemic,Cars,EV,0.0,0.899999976158142,0.0,0.140000000596046,0.0,0.0,3.0740855053832155e-05,8642699.0,379546097300.633
Austria,AUT,Europe,EU,2015,2015-2019,Pre-Pandemic,Cars,FCEV,4.0,0.0,6.0,0.0,0.0,0.0,3.0740855053832155e-05,8642699.0,379546097300.633
Austria,AUT,Europe,EU,2015,2015-2019,Pre-Pandemic,Cars,PHEV,1100.0,0.0,1500.0,0.0,0.0,0.0,3.0740855053832155e-05,8642699.0,379546097300.633
Austria,AUT,Europe,EU,2015,2015-2019,Pre-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,0.100000001490116,3.0740855053832155e-05,8642699.0,379546097300.633
Austria,AUT,Europe,EU,2015,2015-2019,Pre-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,0.100000001490116,3.0740855053832155e-05,8642699.0,379546097300.633
Austria,AUT,Europe,EU,2016,2015-2019,Pre-Pandemic,Cars,BEV,3800.0,0.0,9100.0,0.0,0.0,0.0,1.7523876542559535e-05,8736668.0,393687359770.273
Austria,AUT,Europe,EU,2016,2015-2019,Pre-Pandemic,Cars,EV,0.0,1.5,0.0,0.239999994635582,0.0,0.0,1.7523876542559535e-05,8736668.0,393687359770.273
Austria,AUT,Europe,EU,2016,2015-2019,Pre-Pandemic,Cars,FCEV,0.0,0.0,13.0,0.0,0.0,0.0,1.7523876542559535e-05,8736668.0,393687359770.273
Austria,AUT,Europe,EU,2016,2015-2019,Pre-Pandemic,Cars,PHEV,1200.0,0.0,2300.0,0.0,0.0,0.0,1.7523876542559535e-05,8736668.0,393687359770.273
Austria,AUT,Europe,EU,2016,2015-2019,Pre-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,0.100000001490116,1.7523876542559535e-05,8736668.0,393687359770.273
Austria,AUT,Europe,EU,2016,2015-2019,Pre-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,0.100000001490116,1.7523876542559535e-05,8736668.0,393687359770.273
