country,isoCode,continent,continentCode,year,halfDecade,pandemicPeriod,vehicleType,powertrain,evSales,evSalesShare,evStock,evStockShare,evElectricityDemand,evChargingPoints
Switzerland,CHE,Europe,EU,2014,2010-2014,Pre-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,99.0
Switzerland,CHE,Europe,EU,2014,2010-2014,Pre-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,1300.0
Switzerland,CHE,Europe,EU,2014,2010-2014,Pre-Pandemia,Vans,BEV,52.0,0.0,290.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2014,2010-2014,Pre-Pandemia,Vans,EV,0.0,0.180000007152557,0.0,0.08500000089407,0.0,0.0
Switzerland,CHE,Europe,EU,2015,2015-2019,Pre-Pandemia,Buses,EV,0.0,0.0,0.0,0.129999995231628,0.0,0.0
Switzerland,CHE,Europe,EU,2015,2015-2019,Pre-Pandemia,Buses,PHEV,0.0,0.0,11.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2015,2015-2019,Pre-Pandemia,Cars,BEV,3300.0,0.0,7800.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2015,2015-2019,Pre-Pandemia,Cars,EV,0.0,1.70000004768372,0.0,0.25,0.0,0.0
Switzerland,CHE,Europe,EU,2015,2015-2019,Pre-Pandemia,Cars,FCEV,10.0,0.0,10.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2015,2015-2019,Pre-Pandemia,Cars,PHEV,2400.0,0.0,3200.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2015,2015-2019,Pre-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,260.0
Switzerland,CHE,Europe,EU,2015,2015-2019,Pre-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,3400.0
Switzerland,CHE,Europe,EU,2015,2015-2019,Pre-Pandemia,Vans,BEV,160.0,0.0,440.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2015,2015-2019,Pre-Pandemia,Vans,EV,0.0,0.509999990463257,0.0,0.129999995231628,0.0,0.0
Switzerland,CHE,Europe,EU,2016,2015-2019,Pre-Pandemia,Buses,BEV,5.0,0.0,5.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2016,2015-2019,Pre-Pandemia,Buses,EV,0.0,0.610000014305115,0.0,0.219999998807907,0.0,0.0
Switzerland,CHE,Europe,EU,2016,2015-2019,Pre-Pandemia,Buses,FCEV,5.0,0.0,4.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2016,2015-2019,Pre-Pandemia,Buses,PHEV,0.0,0.0,14.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2016,2015-2019,Pre-Pandemia,Cars,BEV,3300.0,0.0,11000.0,0.0,0.0,0.0
